Log,Exercise Tag,Feeling Tag
i ran a ultra beast spartan race and felt like i was going to die,ran,die
i hiked for 60 minutes with my dog and felt really perky throught out and after it.,hiked,perky
i did some crunches and felt sore.,crunches,sore
i ran on the treadmill for 30 minutes. i felt determined and strong. i made sure to start out slowly and slowly go faster so i wouldn't tire myself out. i felt relaxed yet active and accomplished at the same time.,ran,"determined,"
lifting weights. i am not very strong so i cannot lift very heavy and i always feel a little sore afterwards but i felt determined and interested in what i was doing. and i felt proud that i was doing it and going through any discomfort or hurdles.,lifting weights,"determined, interested, proud"
i ran seven miles and i felt full of energy.,ran seven miles,full of energy
i did thirty minutes of a high intensity training workout and i felt hungry.,high intensity training,hungry
i did upper body workout for 30min and felt strong.,upper body workout,strong
i did 30min of yoga and was quite bored from it.,yoga,bored
"i played basketball last week, i was tired after two games because i'm not in great shape anymore.",basketball,"tired, not in great shape"
yesterday i was working out doing push ups. i got tired after only fifty push ups and quit because my muscles in my arms were cramping up and it was hurting.,push ups,"tired, cramping, hurting"
i did 300 jumping jacks and felt sore,jumping jacks,sore
i did 100 push ups and got tired,push ups,tired
ran 2 miles i felt energized,ran,energized
lift weights i felt strong,lift weights,strong
i took a 20 mile bike ride on local trails my legs were sore but it was fun.,bike ride,sore
i did an hour on the exercise bike this morning i was worn out after,exercise bike,worn out
i went kickboxing and felt clearminded after,kickboxing,clearminded
i lifted weights at the gym and felt pumped after,lifted,pumped
i spent 30 minutes on the elliptical and was winded and exhausted.,elliptical,"winded, exhausted"
i went uphill hiking for 30 minutes and felt strong and refreshed.,hiking,"strong, refreshed"
i played an hour of basketball and was tired,basketball,tired
i swam for an hour and was spent,swam,spent
i running at the morning five miles. then i feel energized.,running,energized
i take weight lifting in gym. then i feel fitness.,weight lifting,fitness
i ran 5 km along the beach and i felt exhausted,ran,exhausted
i did my usual routing of free body and weighted exercises at the park. my muscles are sore.,free body and weighted exercises,sore
i swam for twenty minutes and i felt like i could hardly breathe.,swam,i could hardly breathe
i walk for an hour and i was tired and ready for a nap.,walk,"tired, ready for a nap"
i did jumping jacks and felt tired,jumping jacks,tired
i ran and felt winded,ran,winded
the core exercise being low bar squats and found them extremely taxing,squats,extremely taxing
"i lifted heavy dead lifts, and had considerable soreness in my upper back the next day",dead lifts,considerable soreness
i did barbell squats for an hour and felt very tired,barbell squats,tired
i swam for 30 minutes and felt refreshed,swam,refreshed
i jogged two laps and was exhausted and worn out.,jogged,"exhausted, worn out"
i played tennis with my spouse and felt great!,tennis,great
i walked 2 miles and felt more alert and upbeat.,walked,"alert, upbeat"
i ran for 20 minutes and felt exhausted.,ran,exhausted
i did yoga and i felt centered.,yoga,centered
i went running and i felt exhilarated.,running,exhilarated
"i walked a mile, and i felt good.",walked,good
"i did yoga for an hour, and i felt refreshed.",yoga,refreshed
i jogged for two miles and felt great afterwards.,jogged,great
i felt very tired after doing some squat thrusts for 30 minutes.,squat thrusts,tired
i walk five miles and i felt very tired.,walk,very tired
i played a golf and i feel very disgust,golf,very disgust
i walked down to the river and my achilles hurt.,walked,hurt
i biked down the riverwalk and felt great!,biked,great
i ran a 5k and felt like i really accomplished something.,ran,accomplished
i went to hot yoga and felt super relaxed after.,yoga,relaxed
i danced in heels for an hour and my legs were sore!,danced,sore
i did 50 push-ups and my arms are tired now!,push-ups,tired
i ran 20 minutes and i was feeling great.,ran,great
i did 3 sets of 1 minute planks and i was feeling great.,planks,great
i walk two miles and i feel very restless.,walk,restless
i play a basketball three hours and i felt so tired.,basketball,tired
"i ran 5 miles around my neighborhood. i felt tired, but grateful that my body was able to run 5 miles up and down hills.",ran,grateful
"i did an insanity workout video. initially, i felt sore after completing the work out but after cooling down i felt good about myself and what my body was capable of doing.",insanity workout,"sore, good"
i ran 4 miles on the treadmill and it was hard.,ran,hard
i ran 3 miles on the treadmill and i could have done more.,ran,could have done more
did split squats and felt exhausted.,split squats,exhausted
did chest press and felt energized,chest press,energized
i running five miles at the morning. then i feel energized.,running,energized
i take a weight lifting and general exercise. then i feel fit.,weight lifting,fit
i played basketball and felt exhilirated.,basketball,exhilirated
i walked and felt refreshed.,walked,refreshed
"did 50 pushups up in a row, felt great",pushups,great
"did 100 situps in a row, it burns",situps,burns
i climbed stairs for 100 floors and i felt pooped,stairs,pooped
i lifted weights for 30 minutes and felt rejuvenated,weights,rejuvenated
i ran a billion millimeters and felt overcome with joy!,ran,joy
i swam three thousand feet and felt totally refreshed!,swam,refreshed
i ran 2 miles this morning and felt terrible afterwards.,ran,terrible
i went to crosfit this afternoon and did a variety of exercise.,crosfit,variety
i walked 2 miles and i felt tired.,walked,tired
i lifted weights for an hour and i felt great.,lifted weights,great
"i walked 1.3 miles at a very brisk pace, and felt loosened up and less sore.",walked,"loosened up, less sore"
"i hiked from my house to the top of spencer butte, about 10.5 miles one way. i felt tired and my feet hurt, but the experience was invigorating.",hiked,"tired, feet hurt, invigorating"
i ran 5 km and it felt great.,ran,great
i rode my bike and felt refreshed.,bike,refreshed
i worked out with free weights for 30 minutes and i felt great afterwards!,free weights,great
i ran on the treadmill for 5 minutes and felt exhausted.,treadmill,exhausted
skipping. i feeling its very energetic and give flexibility to my hip.,skipping,energetic
jogging. i feel shortly i get tired after going to jogging,jogging,tired
"i exercised 60 minutes on the elliptical trainer, and i felt good and in high spirits after that.",elliptical,"good, high spirits"
i ran 15 minutes on the treadmill and felt totally exhausted after that.,treadmill,exhausted
"walk thru town, excited",walk,excited
"bike ride on canal, carefree",bike ride,carefree
i skip for every day morning.this feel very beater,skip,very beater
skipping is one of the best game and exercise. i feel weight loss,skipping,weight loss
i walked around 10 miles and felt like exhausted,walked,exhausted
i worked out in gym and did 20 push ups and my muscles felt like they were going to torn out,push ups,torn out
i have early morning go to running. i am very energetic on the day.,running,energetic
i have every evening i am swim in pool. i have very relax in my body.,swim,relax
i completed an hour chest workout and i feel energized.,chest workout,energized
i played a whole day of basketball and i feel sored.,basketball,sored
i swam a kilometre and felt pleasantly tired,swam,pleasantly tired
i played several tennis matches and was worn out afterwards,tennis,worn out
i ran on the elliptical and got my blood pumping!,ran,blood pumping
i lifted weights and can feel the adrenaline flowing!,weights,adrenaline
i cycling and i get full energy of body,cycling,energy
i swim daily i get breath relaxation.,swim,breath relaxation.
i ran for ten minutes and felt out of shape,ran,out of shape
i biked one mile and felt tired,biked,tired
i ran 10 miles and i felt refreshed!,ran,refreshed
i did sit ups 15 times and i felt exhausted after.,sit ups,exhausted
i did 100 squats and felt great.,squats,great
i went cross country skiing and felt very alive.,cross country skiing,very alive
i ran 2 miles and felt like my lungs were on fire,ran,lungs were on fire
i weight lifted for 1 hour and felt sore but also clear headed and energized,weight lifted,"sore, clear headed, energized"
i rode a bicycle for 30 minutes and i feel refreshed,rode,refreshed
i ran for 20 minutes and i feel exhausted.,ran,exhausted
"i hiked three miles and felt awake, connected to nature and happy.",hiked,"awake, connected to nature, happy"
"i biked nine miles and felt tired, but energized, and i felt confident.",biked,"tired, energized, confident"
"i ran six kilometers and felt tired but relaxed afterwards. my head felt clear and good, and my calves and legs felt tired but relaxed.",ran,"clear, good, tired, relaxed"
"i did 5 set of 9 wide chinups and then 5 more sets of close chinups. my back muscles felt sore afterwards, but i felt satisfaction and a sense of achievement.",chinups,"sore, satisfaction"
i played football with my son for the past 2 hours and im feeling great,played football,feeling great
boy im tired after swimming around the lake,swimming,tired
i played an hour of netball game and though i was exhausted afterwards it was fulfilling.,netball game,"exhausted, fulfilling"
i power walked for half an hour and i felt energised and made me feel good.,power walked,"energised, good"
i ran 3.75 miles with virginia and felt great.,ran,great
"i walked one lap and it rained, i was miserable.",walked,miserable
my legs are burning from doing so many squats.,squats,legs are burning
i planked for so long that it hurt my core for three days.,planked,hurt my core
i walked 4 miles and i felt very tired.,walked,tired
i did 200 sit-ups and felt very energized.,sit-ups,energized
i did 30 minutes of the stairmaster and i am so exhausted now!,stairmaster,exhausted
i swam for 1 hour and i am very tired.,swam,tired
"i feel tired, i just ran three miles.",ran,tired
"i feel energized, i just shot 3 rounds of archery",archery,energized
i did squats and my legs were on fire!,squats,on fire
i did bench press and my chest was sore the next morning.,bench press,sore
"running, 5 miles. 7:15 pace. 67 degrees. felt fast",running,fast
"hiked pisgah, 1:45 it was hot.",hiked,hot
i ran 8km and i felt fresh afterwards,ran,fresh
i made 40 push-ups and i felt weak,push-ups,weak
"i walked for 15 minutes, and i feel awake.",walked,awake
i then run for an hour and afterwards feel exhausted.,run,exhausted
i ran on an ellpitcal for 35 minutes. i feel exhausted.,ran,exhausted
i did three sets of 8 on bench press. i increased weight and felt accomplished.,bench press,accomplished
i just swam 10 laps and i feel super energized,swam,energized
i just went jogging and i felt tired right away even though i did a whole mile.,jogging,tired
i felt energized and refreshed after using the elliptical for 25 minutes.,elliptical,"energized, refreshed"
my legs felt like jelly after using the elliptical for 45 minutes today.,elliptical,jelly
i did an ab workout and i felt sore afterwards.,ab workout,sore
i did a toning butt workout and it didnt hurt after the first time but did the second day.,butt workout,hurt
i ran on the treadmill for 45 minutes and i feel good,ran,good
i did 80 push-ups and now i've shoulders aching,push-ups,shoulders aching
"bench press, i felt really good after the chest pump",bench press,really good
"squats, after my excersise my legs felt they were going to fall off",squats,fall off
i just walked a fast 3 miles and i feel exhausted and sore already,walked,"exhausted, sore"
i just did an arm workout with light weights and i feel tired but good,arm workout,"tired, good"
i lifted weights using dumbbells and felt exhausted after.,lifted weights,exhausted
"after jogging for twenty minutes, i felt like i could fall asleep on the ground.",jogging,could fall asleep
i played volleyball for 2 hours and am tired,volleyball,tired
i ran 2 miles on the track and i feel great,ran,great
i do functional training every day and i get exhausted when i'm done.,functional training,exhausted
"i do hydrogymnastics three times a week, the exercises are simple. however, they are tiring.",hydrogymnastics,tiring
i do 10 sit ups and i feel accomplished but also very tired.,sit ups,"accomplished, tired"
"i did 15 russian twists, which makes me feel invigorated",russian twists,invigorated
"i just took an hour long spin class, and i feel energized!",spin class,energized
"i just walked four miles, and i feel exhausted.",walked,exhausted
i ran 4 miles and i feel drained.,ran,drained
i deadlifted 500 lbs and i felt unstoppable!,deadlifted,unstoppable
running at early  morning gives good energy,running,good energy
swimming gives a lot stress release,swimming,stress release
i swam 20 laps and i felt energized!,swam,energized
i just walked 3 miles and i felt so tired.,walked,so tired
"i just did 25 sit-ups, and i felt tighten up",sit-ups,tighten up
i just went for a jog this morning and felt tired.,jog,tired
i did a brisk walk and felt really tired.,brisk walk,really tired
i played a volley ball game and i felt completely wiped out.,volley ball,completely wiped out
i just ran 8 laps around the park and i feel extremely exhausted!,ran,exhausted
i just did some intense yoga exercises and i feel so out of shape!,yoga,out of shape
i felt good and i think it was effective this al split squat 8/side,al split squat 8/side,good
i ran 50 minutes and i felt better and energized.,ran,"better, energized"
i just finished a three hour tennis match. i have never in my life felt this exhausted before!,tennis match,exhausted
i have just completed the decathlon. i felt relieved.,decathlon,relieved
i did thirty minutes of high intensity training and felt full of vitality.,high intensity training,full of vitality
i ran five miles and felt energized.,ran,energized
"i warmed-up on the treadmill for 30 minutes, and increased the treadmill speed and ran for 1.5 minute intervals with 30 second rests in between. i feel great.",ran,great
this morning i did 25 push-ups. my arms are exhausted. i feel sluggish!,push-ups,sluggish
i have run 4 miles in morning. i have feel do not energized and leg pain,run,"do not energized, leg pain"
i have played football. i have very tired,football,very tired
"i played badminton for more than two hours, i felt tired and legs and foot are paining like hell.",badminton,"tired, legs and foot are paining"
"i done 50 push-ups, and felt so strong in my hands.",push-ups,strong
i just run three kilo meters and i am so tired,run,tired
i swam three kilometer  i feel without energy,swam,without energy
i swam fifty situps  and i felt sluggish.,situps,sluggish
i played a three hour basketball game.i was so exhausted after!.,basketball game,exhausted
i feel great! i just walked five miles.,walked,great
i ran five miles and i felt fast.,ran,fast
i just did 50 pushups and feel exhausted.,pushups,exhausted
i just jogged for two hours and feel drained.,jogged,drained
"i did the treadmill for 30 minutes and i felt more energetic, refreshed, and happy for what i did.",treadmill,"more energetic, refreshed, happy"
"i walked 3 miles in our subdivision, and although i felt better about myself, i was quite tired when i finished.",walked,"better, quite tired"
i felt extremely energized after riding my recumbent bike for 30 minutes.,riding my recumbent bike,energized
i felt totally exhausted after running two miles.,running,exhausted
hot but i worked through the weather on my run,run,hot
rough headwind today on the front half of my run,run,rough
"did bench press today, feeling pumped!",bench press,pumped
i used the rowing machine for about an hour.  totally exhausted now.,rowing machine,exhausted
i went for a three mile run and i felt very rejuvenated when i returned home from the run.,run,rejuvenated
i did a heavy weight exercise today and it made my muscles very sore.,weight,sore
i accomplished 20 push-ups this session.  i was pretty achy but i felt energized.,push-ups,"achy, energized"
i was able to walk 2.5 miles this afternoon. my legs and feet were pretty sore!,walk,sore
i just completed 15 minutes on the step machine. i am tired.,step machine,tired
i did 50 squats. my legs and butt are sore but i feel dedicated.,squats,"sore, dedicated"
i just finished 30 minutes of zumba i was exhausted but yet energized,zumba,"exhausted, energized"
i just did 15 minutes on the treadmill i'm feeling strong,treadmill,strong
"i attended a two hour kickboxing class after my first work out, i felt like my legs were going to fall off",kickboxing,my legs were going to fall off
my second work out was lifting weights my pecs felt they were on fire,lifting weights,on fire
i rode exercise bike for one half hour i felt tired and legs were weak,exercise bike,"tired, weak"
walked around one city block i felt energized and stimulated,walked,"energized, stimulated"
i did 20 squats it made my heart rate go up and it felt good.,squats,"heart rate go up, good"
i did bicep curls it made my arms sore,bicep curls,sore
my first workout is jogging. after a hours still my body pains when i normally walk.,jogging,pains
"my second workout is weight lift. after a days, its really change our body weight",weight lift,change our body weight
i cycled for 3 hours. i feel worn out!,cycled,worn out
i lifted weights in the gym. i feel incredibly tired!,lifted weights,tired
i ran a mile i felt very out of breath.,ran,out of breath
i did 30 squats. my legs felt like noodles.,squats,like noodles
pull ups i feel healthy,pull ups,healthy
bench press. barbell incline the bench press is an extremely important upper body exercise i feel good,bench press,good
"i did 15 reps of 300lb deadlifts for the last 10 minutes. i felt powerful honestly, and full of energy. a little stressed in the knees and legs though.",deadlifts,"powerful, full of energy, stressed"
"i ran on a treadmill for 15 minutes to reach 1 mile tired, but full of adrenaline and endorphines. sweaty but motivated!",ran,"tired, full of adrenaline and endorphines, sweaty,  motivated"
i did one set of barbell squats. i felt weak.,barbell squats,weak
i did an hour of martial arts. i felt out of shape.,martial arts,out of shape
my first workout is pull ups while doing this workout be get struggle to pull body up and down after doing this workout we get pain in wings and chest,pull ups,"struggle, pain"
cobra stretch its a very easy workout its use to stretch body while doing this workout back will get pain,cobra stretch,"easy, pain"
i just cycling five miles. i am really out of shape,cycling,out of shape
i am played two hour tennis. i felt strong,tennis,strong
i practice 10 minutes of push ups it makes me hard,push ups,hard
i doing bench press it fits me a lot,bench press,fits
i played basketball. i felt motivated.,basketball,motivated
i performed stomach crunches. i felt toned.,stomach crunches,toned
i did 50 pushups. it was hard but i felt good after.,pushups,"hard,  good"
i did a 30 hour yoga session. i felt relaxed but toned.,yoga,"relaxed, toned"
i went running and i felt great afterwards,running,great
i did cardio i felt refreshed and invigorated before and during,cardio,"refreshed,  invigorated"
i did twenty five jumping jacks. i felt out of breath!,jumping jacks,out of breath
i ran ten miles. i was really tired!,ran,tired
i just walk 2 miles i feel energetic,walk,energetic
i do cycling everyday i feel good,cycling,good
i do push ups it hurts my arms in a good way,push ups,hurts
i do sit ups it burns my stomach in a good way,sit ups,burns
"i played an hour of beat saber to warm up i felt great, limber and warmed up.",beat saber,great
"i used my weight machine to do presses i felt physically tired, but great",presses,great
i did hiit training for 1 hour i felt sick,hiit,sick
i ran 2 miles i felt refreshed,ran,refreshed
i did the stairclimber for 10 mins my knees hurt,stairclimb,hurt
i did the eliptical for 20 mins i felt better and tired,eliptical,"better, tired"
i raked all the leaves i feel motivated,raked,motivated
i hiked a mild trail i feel free,hiked,free
i just rode my bike for 40 miles i felt out of shape,rode,out of shape
i just walked 2 miles i feel energized,walked,energized
i did 100 bicep curls. i felt strong.,curls,strong
i rode my bike for 15 minutes. i was tired and short of breath.,bike,"tired, short of breath"
i did some leg lifts i felt tired,leg lifts,tired
i did some push ups i felt tired,push ups,tired
i jogged for 15 minutes. i felt my heart beating fast as i was jogging.,jogged,heart beating fast
i did 30 jumping jacks. my legs were aching afterwards.,jumping jacks,aching
i played in a 3 on 3 basketball game i am tired!,basketball,tired
i went for a 5 mile brisk walk i feel great!,walk,great
my first workout was on the treadmill and it was exhausting. i felt very tired,treadmill,tired
my second workout was some weight training to build muscle. i felt sore afterwards but i knew i was making gains.,weight,sore
i just lifted for 75 minutes! i felt strong.,lifted,strong
i just walked 3 miles i felt bored.,walked,bored
i just walked half a mile. i feel energized.,walked,energized
i did 20 minutes of yoga. i feel calm and rejuvenated.,yoga,"calm, rejuvenated"
i did yoga for one hour i felt fantastic,yoga,fantastic
i walked for one hour i feel tired,walked,tired
i played roller derby for two hours. i felt happy and free.,roller derby,"happy, free"
"i ran five miles at a 10mph pace. the run was difficult, but i felt satisfied after.",ran,"difficult, satisfied"
i did the bench press. i felt tight.,bench press,tight
i jumped rope. i felt winded.,jumped rope,winded
i hit a max deadlift attempt i felt exhausted after the workout,deadlift,exhausted
i swam 1 mile i felt refreshed after swimming,swam,refreshed
jogging good,jogging,good
cycling loss weight,cycling,loss weight
i ran for an hour. absolutely awful and dizzy.,ran,"awful, dizzy"
i swam for 30 minutes. i felt nice afterwards!,swam,nice
i did four sets of ten reps each of bicep curls. i felt a lot of strain and it took great effort to finish.,bicep curls,"strain, great effort"
"i did two hundred ab crunches over five sets. the last 50 reps were terrible, i felt so tired.",ab crunches,"terrible, tired"
i went to the gym at lunch today and walked 2 miles in 30 minutes. i felt revived after i walked at lunch today.,walked,revived
i went to the gym and did a super slow workout on the weight machines. i had a sore leg muscle after working out on the weight machines.,weight machines,sore
i did 20 pushups. i felt energized and ready to go afterwards.,pushups,"energized, ready to go"
i did 30 crunches. i felt sore but accomplished.,crunches,"sore, accomplished"
i complete a 1 hour run at 7:30 pace i felt good until the last 10 minutes so i started my warm down early.,run,good
i ran 4 mile reps at 6:15 to 6:30 pace first mile felt easy last mile i felt fatigued after the first 800 meters,ran,fatigued
i walked for an hour i am tired,walked,tired
i biked for 20 minutes my knees hurt,biked,hurt
leslie sansone walking exercise i felt so light and fresh,walking,"light, fresh"
lunges i felt strength,lunges,strength
i played two hours cricket game. i felt tired.,cricket game,tired
i walked for three miles. i felt fresh.,walked,fresh
i just did a 1 hour jiu-jitsu workout.  i feel tired.,jiu-jitsu,tired
i just played handball. i am energetic.,handball,energetic
walking get start,walking,get start
running fast,running,fast
my first workout is jumping jack  really i am good feel,jumping jack,good feel
second workout is push ups good feel,push ups,good feel
today i walked for 100 minutes briskly. i felt accomplished and sweaty.,walked,"accomplished, sweaty"
i performed arm exercises today my arm muscles were slightly tired.,arm exercises,tired
i played volleyball for two hours after work. i was exhausted!,volleyball,exhausted
i did a one hour yoga session. i was really relaxed.,yoga session,relaxed
i did ten heavy squats today. i feel very tired.,squats,tired
i ran 5 kilometers on the treadmill this evening. i felt very satisfied.,ran,satisfied
my workout is jumping jack  good feel,jumping jack,good feel
second workout is push ups  really good feel,push ups,good feel
i used the stair climber machine for 30 minutes. i felt sore and exhausted afterwards.,stair climber,"sore, exhausted"
i did 50 squats. i felt sore in my thigh.,squats,sore
i did 10 squats i felt like i was going to puke,squats,going to puke
i did 40 sit ups my abs are killing me,sit ups,abs are killing me
i walked down the street for 15 minutes. i need to do this more often so i'm not so winded next time.,walked,winded
i performed exercises in a home aerobics video. i feel like i'm going to be sore tomorrow.,aerobics video,sore
i did 20 minutes on my elliptical my legs felt like spaghetti noodles after,elliptical,spaghetti noodles
i walked for 55 minutes i felt relaxed and good,walked,"relaxed, good"
workout: ran 15 minutes on treadmill .7 miles i felt like my heart was going to explode.,ran,my heart was going to explode
"workout: 60 crunches in sets of 15. i felt good, like i was getting stronger.",crunches,stronger
just did a cardio workout. i feel energized.,cardio,energized
i did brisk walking for 30 minutes. i feel tired.,walking,tired
i jump passing the ball   it was fun,jump,fun
passing the ball while jumping makes me a good basketball player feel flexible and happy,basketball,"flexible, happy"
i just cycled for an hour and a half. i feel exhausted!,cycled,exhausted
i hiked up a hill for two hours! i feel really tired!,hiked,tired
i walked ten kilometers i feel good and energetic,walked,energetic
i put 100 sittups it was very tough,sittups,tough
i ran on the treadmill for 40 minutes  i felt exhausted and depleted,ran,"exhausted, depleted"
i walked five miles on the trek  i felt invigorated,walked,invigorated
i benchpressed some weights. i felt strong and impressed that i did it.,benchpressed,"strong, impressed"
i started doing squats. i didn't feel great about it because they were not very fun activities.,squats,didn't feel great
i did 10 sit ups. it really hurt.,sit ups,hurt
i did one pull up.  i felt proud.,pull up,proud
i just finished a yoga with addriene video relaxed and happy,yoga,happy
i just went for a bike ride hungry and cold,bike ride,"hungry, cold"
i just finished a 45 minute yoga session. i feel so much more relaxed!,yoga,relaxed
just walked three miles. my shins are sore and i feel so out of shape.,walked,"sore, out of shape"
i went for a run on the treadmill. i was super out of breath.,run,out of breath
"i went to yoga class. i am tired, but feel strong and more relaxed",yoga,"tired, strong, relaxed"
i attended a three-hour yoga workshop i felt relaxed but exhausted.,yoga,relaxed
i played tennis at the park with a friend. i need to practice my tennis more!,tennis,need to practice
i just squatted 300lbs for 15 reps. i felt strong but i'm also tired now.,squatted,strong
i rode my bike for 1 hour. i felt confident and in shape.,rode,"confident, in shape"
i rode a bike for 15 minutes i felt energized,rode,energized
i played tennis with my dad i felt happy,tennis,happy
i ran five miles. i felt really strong and proud of myself.,ran,"strong, proud of myself"
i did a nike workout at the gym. i could feel my muscles.,nike workout,muscles
i just lifted weights for 30 minutes.  i felt strong.,weights,strong
i just hiked for an hour. i felt exhausted.,hiked,exhausted
i walked a mile. i felt warmed up.,walked,warmed up
i did bench press for five minutes i felt drained after,bench press,drained
i did 20 burpees i felt amazing and awake,burpees,"amazing, awake"
i did 50 pushups i felt really tired and sore,pushups,"tired, sore"
i just road a bike for 5 miles i felt good but tired,bike,"good, tired"
my second workout i walked 4 miles after my workout i felt energized,walked,energized
i did 40 burpees i felt very tired,burpees,tired
i went for a mile run i felt very tired,run,tired
i walked a mile. i am out of shape!,walked,out of shape
i did 50 pull ups. my arms feel sore.,pull ups,sore
"i walked 5 miles. after the workout, i felt tired but happy.",walked,"tired, happy"
"i cycled 20 miles. i was exhausted during the ride, it had been so long since i was on a bike.",cycled,exhausted
shot basketball with a group of people i was out of breath and exhausted,basketball,"out of breath, exhausted"
i walked 3 miles i felt accomplished and my legs were tired,walked,accomplished
i did twenty push ups  i felt weak and fatigued,push ups,"weak, fatigued"
i did fifty sit ups my stomach hurt,sit ups,hurt
"i just ran 2 miles! i felt great, very energetic",ran,great
i just biked for 8 miles i felt very tired,biked,tired
i just walked stairs for 30 minutes. i felt energized.,stairs,energized
